Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","98","Croatia","5510","Production","1018","Offals, edible, goats","2018","2018","tonnes","56","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1098","Offals, horses","2014","2014","tonnes","319.61","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1098","Offals, horses","2015","2015","tonnes","327.35","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1098","Offals, horses","2016","2016","tonnes","338.42","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1098","Offals, horses","2017","2017","tonnes","347.7","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1098","Offals, horses","2018","2018","tonnes","356.96","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1036","Offals, pigs, edible","2014","2014","tonnes","6214.29","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1036","Offals, pigs, edible","2015","2015","tonnes","6103.9","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1036","Offals, pigs, edible","2016","2016","tonnes","6364.81","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1036","Offals, pigs, edible","2017","2017","tonnes","6786.04","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1036","Offals, pigs, edible","2018","2018","tonnes","7370.13","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","978","Offals, sheep,edible","2014","2014","tonnes","752.6","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","978","Offals, sheep,edible","2015","2015","tonnes","710","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","978","Offals, sheep,edible","2016","2016","tonnes","705.88","Im","FAO data based on imputation methodology"
